"","editorial","paginas","anio","id_libro"
"453","ANTONI BOSCH
","10
","01/01/2023
",453
"454","OCEANO
","536
","01/01/2023
",454
"455","EUNSA
","10
","01/01/2023
",455
"456","ANTONI BOSCH
","864
","01/01/2022
",456
"457","GEDISA
","176
","01/01/2003
",457
"458","FERNANDO CEJAS
","100
","01/01/2023
",458
"459","EUNSA
","10
","01/01/2023
",459
"460","LUGAR EDITORIAL
","232
","01/01/2016
",460
"461","DIAZ DE SANTOS
","152
","01/01/2004
",461
"462","EMPRESA ACTIVA
","416
","01/01/2019
",462
"463","EUNSA
","10
","01/01/2023
",463
"464","ERREPAR
","344
","01/01/2022
",464
"465","DIAZ DE SANTOS
","168
","01/01/2006
",465
"466","MACRO
","10
","01/01/2018
",466
"467","PIRAMIDE
","1136
","01/01/2004
",467
"468","COOPERATIVAS
","324
","01/01/2010
",468
"469","FERNANDO CEJAS
","340
","01/01/2023
",469
"470","FUNDACION CONFEMETAL
","10
","01/01/2024
",470
"471","REVERTE
","734
","01/01/2019
",471
"472","PARANINFO
","128
","01/01/2019
",472
"473","MARCOMBO
","844
","01/01/2016
",473
"474","EDUNTREF
","308
","01/01/2014
",474
"475","DUNKEN SRL
","10
","01/01/2023
",475
"476","FUNDACION CONFEMETAL
","10
","01/01/2024
",476
"477","EDUNTREF
","492
","01/01/2004
",477
"478","DIAZ DE SANTOS
","304
","01/01/2006
",478
"479","MARCOMBO
","114
","01/01/2021
",479
"480","FUNDACION CONFEMETAL
","10
","01/01/2024
",480
"481","TEBAR
","160
","01/01/2022
",481
"482","ALBATROS
","144
","01/01/2014
",482
"483","DIAZ DE SANTOS
","278
","01/01/2021
",483
"484","FUNDACION CONFEMETAL
","10
","01/01/2024
",484
"485","REVERTE
","460
","01/01/2011
",485
"486","EDUNTREF
","10
","01/01/2010
",486
"487","MUCHO GUSTO
","10
","01/01/2023
",487
"488","FUNDACION CONFEMETAL
","10
","01/01/2024
",488
"489","FUNDACION CONFEMETAL
","10
","01/01/2024
",489
"490","FUNDACION CONFEMETAL
","10
","01/01/2024
",490
"491","PARANINFO
","10
","01/01/2014
",491
"492","CORREGIDOR
","224
","01/01/2016
",492
"493","FUNDACION CONFEMETAL
","10
","01/01/2024
",493
"494","MAIPUE
","264
","01/01/2008
",494
"495","CORREGIDOR
","368
","01/01/2015
",495
"496","UGERMAN EDITOR
","302
","01/01/2006
",496
"497","UGERMAN EDITOR
","320
","01/01/2003
",497
"498","TEMAS GRUPO EDITORIAL
","254
","01/01/2003
",498
"499","DIAZ DE SANTOS
","252
","01/01/2017
",499
"500","DIAZ DE SANTOS
","330
","01/01/2017
",500
"501","DIAZ DE SANTOS
","324
","01/01/2013
",501
"502","DIAZ DE SANTOS
","184
","01/01/2013
",502
"503","DIAZ DE SANTOS
","296
","01/01/2013
",503
"504","DIAZ DE SANTOS
","324
","01/01/2013
",504
"505","DIAZ DE SANTOS
","10
","01/01/2013
",505
"506","DIAZ DE SANTOS
","10
","01/01/2013
",506
