"result.editorial","result.encuadernacion","result.paginas","result.publicacion"
Plataforma Editorial,Tapa Blanda,N° 152,06/2020
Yump,Tapa Blanda,NA,03/2023
Dorling Kindersley,Tapa Blanda,NA,05/2020
Dorling Kindersley,Tapa Blanda,NA,05/2020
Dorling Kindersley,Tapa Blanda,NA,05/2020
Paidos,Tapa Blanda,N° 320,02/2023
Siglo Xxi Editores Argentina,Tapa Blanda,N° 320,02/2023
V&r,Tapa Blanda,NA,03/2020
Empresa Activa,Tapa Blanda,N° 320,02/2023
Profit,Tapa Blanda,N° 168,01/2020
Clave Intelectual S.a.,Tapa Blanda,N° 160,01/2023
Plataforma Editorial,Tapa Blanda,N° 368,12/2019
Reverte,Tapa Blanda,N° 306,12/2019
Indicios,Tapa Blanda,N° 288,12/2022
Empresa Activa,Tapa Blanda,N° 224,12/2022
Clave Intelectual S.a.,Tapa Blanda,N° 250,11/2019
Clave Intelectual S.a.,Tapa Blanda,N° 250,11/2019
Siglo Xxi Editores Mexico,Tapa Blanda,N° 250,12/2022
Roca Editorial,Tapa Blanda,N° 320,11/2019
Mucho Gusto,Tapa Blanda,N° 272,11/2019
Temas Grupo Editorial Srl,Tapa Blanda,N° 112,11/2022
Temas Grupo Editorial Srl,Tapa Blanda,N° 252,11/2022
Profit,Tapa Blanda,N° 216,11/2019
Piramide,Tapa Blanda,N° 170,10/2019
Del Nuevo Extremo,Tapa Blanda,N° 172,10/2019
De Los Cuatro Vientos,Tapa Blanda,N° 144,10/2019
Lenguaje Claro,Tapa Blanda,N° 472,05/2018
Ciccus,Tapa Blanda,N° 312,11/2022
Amat,Tapa Blanda,N° 304,04/2018
Ciccus / Ediunc / Poliedro,Tapa Blanda,N° 128,11/2022
Ediciones B,Tapa Blanda,N° 240,04/2018
Conecta,Tapa Blanda,N° 350,04/2018
Anaya Multimedia,Tapa Blanda,N° 240,09/2019
Lid,Tapa Blanda,N° 128,02/2018
Piramide,Tapa Blanda,N° 208,01/2018
Granica,Tapa Blanda,N° 160,12/2017
Granica,Tapa Blanda,N° 308,12/2017
Temas Grupo Editorial Srl,Tapa Blanda,N° 162,06/2019
Lenguaje Claro,Tapa Blanda,N° 300,05/2019
Lenguaje Claro,Tapa Blanda,N° 376,05/2019
Quarto,Tapa Blanda,N° 144,10/2017
Piramide,Tapa Blanda,N° 266,09/2017
Ned Ediciones,Tapa Blanda,N° 192,04/2019
Granica,Tapa Blanda,N° 408,07/2017
Profit,Tapa Blanda,N° 336,02/2019
Granica,Tapa Blanda,N° 260,02/2019
Granica,Tapa Blanda,N° 240,02/2019
Temas Grupo Editorial Srl,Tapa Blanda,N° 200,06/2017
Amat,Tapa Blanda,N° 144,06/2017
Hojas Del Sur,Tapa Blanda,N° 160,05/2017
Atlantida,Tapa Blanda,N° 264,05/2017
Piramide,Tapa Blanda,N° 220,12/2018
Piramide,Tapa Blanda,N° 332,12/2018
Piramide,Tapa Blanda,N° 324,12/2018
Universidad Nacional De Mar Del Plata,Tapa Blanda,N° 372,12/2018
Kolima,Tapa Blanda,N° 224,03/2017
Ugerman Editor,Tapa Blanda,NA,09/2018
Paraninfo,Tapa Blanda,N° 138,02/2017
Vergara,Tapa Blanda,N° 240,09/2018
Profit,Tapa Blanda,N° 176,08/2018
Lid,Tapa Blanda,N° 100,07/2018
Temas Grupo Editorial Srl,Tapa Blanda,N° 224,08/2016
Colihue,Tapa Blanda,N° 352,06/2018
Colihue,Tapa Blanda,N° 288,06/2018
Granica,Tapa Blanda,N° 256,06/2016
Fondo De Cultura Economica,Tapa Blanda,N° 180,06/2016
Fabro,Tapa Blanda,N° 360,05/2016
Fondo De Cultura Economica,Tapa Blanda,N° 308,03/2016
Temas Grupo Editorial Srl,Tapa Blanda,N° 272,03/2016
Biblos,Tapa Blanda,NA,02/2012
Piramide,Tapa Blanda,N° 574,01/2012
Oceano,Tapa Blanda,NA,11/2011
Universidad Nacional De Lanus,Tapa Blanda,N° 206,11/2011
Granica,Tapa Blanda,N° 490,09/2011
Granica,Tapa Blanda,N° 160,09/2011
Lenguaje Claro,Tapa Blanda,N° 224,05/2011
Oceano,Tapa Dura,NA,05/2011
Temas Grupo Editorial Srl,Tapa Blanda,N° 398,05/2011
Edaf,Tapa Blanda,N° 120,10/2010
Pluma Digital,Tapa Blanda,N° 180,10/2015
Lenguaje Claro,Tapa Blanda,N° 300,10/2015
Temas Grupo Editorial Srl,Tapa Blanda,N° 340,08/2015
Plataforma Editorial,Tapa Blanda,N° 120,04/2015
Siglo Xxi Editores Argentina,Tapa Blanda,N° 208,02/2015
Del Nuevo Extremo,Tapa Blanda,N° 88,12/2014
Temas Grupo Editorial Srl,Tapa Blanda,N° 252,12/2014
Temas Grupo Editorial Srl,Tapa Blanda,N° 208,11/2014
Temas Grupo Editorial Srl,Tapa Blanda,N° 165,10/2014
Centro Cultural De La Cooperacion,Tapa Blanda,N° 256,09/2014
Granica,Tapa Blanda,N° 288,05/2014
Lenguaje Claro,Tapa Blanda,N° 190,03/2014
Piramide,Tapa Blanda,NA,10/2013
Lenguaje Claro,Tapa Blanda,N° 380,08/2013
Lenguaje Claro,Tapa Blanda,N° 260,05/2013
Eudeba,Tapa Blanda,NA,05/2013
Temas Grupo Editorial Srl,Tapa Blanda,N° 214,05/2013
Temas Grupo Editorial Srl,Tapa Blanda,N° 198,11/2012
Granica,Tapa Blanda,N° 184,10/2009
Manantial,Tapa Blanda,N° 128,09/2009
La Colmena,Tapa Blanda,N° 130,08/2009
Biblos,Tapa Blanda,N° 229,04/2009
Lenguaje Claro,Tapa Blanda,N° 272,03/2009
Ugerman Editor,Tapa Blanda,N° 198,11/2008
Granica,Tapa Blanda,N° 288,11/2008
Granica,Tapa Blanda,N° 336,11/2008
Antroposofica,Tapa Blanda,N° 127,02/2008
Lenguaje Claro,Tapa Blanda,N° 352,11/2007
Granica,Tapa Blanda,N° 368,05/2007
Ugerman Editor,Tapa Blanda,N° 304,11/2006
Biblos,Tapa Blanda,N° 102,10/2005
Granica,Tapa Blanda,N° 199,10/1999
